scrape_timestamp,period_start,period_end,application_type,count
2026-03-16T04:14:38Z,1 January 2026,31 January 2026,Australian citizenship by conferral (general eligibility and other situations) 6,17562
2026-03-16T04:14:38Z,1 January 2026,31 January 2026,Australian citizenship by descent,1882
2026-03-16T04:14:38Z,1 January 2026,31 January 2026,Evidence of Australian citizenship,3706
2026-02-14T04:00:00Z,1 December 2025,31 December 2025,Australian citizenship by conferral (general eligibility and other situations) 6,16890
2026-02-14T04:00:00Z,1 December 2025,31 December 2025,Australian citizenship by descent,1756
2026-02-14T04:00:00Z,1 December 2025,31 December 2025,Evidence of Australian citizenship,3512
2026-03-16T04:15:08Z,1 January 2026,31 January 2026,Australian citizenship by conferral (general eligibility and other situations) 6,17562
2026-03-16T04:15:08Z,1 January 2026,31 January 2026,Australian citizenship by descent,1882
2026-03-16T04:15:08Z,1 January 2026,31 January 2026,Evidence of Australian citizenship,3706
2026-03-16T04:35:11Z,1 January 2026,31 January 2026,Australian citizenship by conferral (general eligibility and other situations) 6,17562
2026-03-16T04:35:11Z,1 January 2026,31 January 2026,Australian citizenship by descent,1882
2026-03-16T04:35:11Z,1 January 2026,31 January 2026,Evidence of Australian citizenship,3706
2026-03-17T04:03:37Z,1 January 2026,31 January 2026,Australian citizenship by conferral (general eligibility and other situations) 6,17562
2026-03-17T04:03:37Z,1 January 2026,31 January 2026,Australian citizenship by descent,1882
2026-03-17T04:03:37Z,1 January 2026,31 January 2026,Evidence of Australian citizenship,3706
2026-03-17T05:21:50Z,1 January 2026,31 January 2026,Australian citizenship by conferral (general eligibility and other situations) 6,17562
2026-03-17T05:21:50Z,1 January 2026,31 January 2026,Australian citizenship by descent,1882
2026-03-17T05:21:50Z,1 January 2026,31 January 2026,Evidence of Australian citizenship,3706
2026-03-18T05:26:33Z,1 January 2026,31 January 2026,Australian citizenship by conferral (general eligibility and other situations) 6,17562
2026-03-18T05:26:33Z,1 January 2026,31 January 2026,Australian citizenship by descent,1882
2026-03-18T05:26:33Z,1 January 2026,31 January 2026,Evidence of Australian citizenship,3706
2026-03-19T05:22:40Z,1 January 2026,31 January 2026,Australian citizenship by conferral (general eligibility and other situations) 6,17562
2026-03-19T05:22:40Z,1 January 2026,31 January 2026,Australian citizenship by descent,1882
2026-03-19T05:22:40Z,1 January 2026,31 January 2026,Evidence of Australian citizenship,3706
2026-03-20T05:15:50Z,1 January 2026,31 January 2026,Australian citizenship by conferral (general eligibility and other situations) 6,17562
2026-03-20T05:15:50Z,1 January 2026,31 January 2026,Australian citizenship by descent,1882
2026-03-20T05:15:50Z,1 January 2026,31 January 2026,Evidence of Australian citizenship,3706
